2025-09-01 19:21:47.859 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 43023281000100
2025-09-01 19:21:47.861 | ERROR    | __main__:processar_pmm:132 - 43023281000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.862 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 35856232000120
2025-09-01 19:21:47.864 | ERROR    | __main__:processar_pmm:132 - 35856232000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.865 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 51516274000179
2025-09-01 19:21:47.866 | ERROR    | __main__:processar_pmm:132 - 51516274000179 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.867 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 53165195000196
2025-09-01 19:21:47.869 | ERROR    | __main__:processar_pmm:132 - 53165195000196 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.869 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 09461099000101
2025-09-01 19:21:47.871 | ERROR    | __main__:processar_pmm:132 - 09461099000101 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.872 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 21967775000100
2025-09-01 19:21:47.873 | ERROR    | __main__:processar_pmm:132 - 21967775000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.874 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 38059475000126
2025-09-01 19:21:47.875 | ERROR    | __main__:processar_pmm:132 - 38059475000126 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.877 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 47766186000158
2025-09-01 19:21:47.878 | ERROR    | __main__:processar_pmm:132 - 47766186000158 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.879 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 41505475000117
2025-09-01 19:21:47.881 | ERROR    | __main__:processar_pmm:132 - 41505475000117 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.882 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 50992729000160
2025-09-01 19:21:47.883 | ERROR    | __main__:processar_pmm:132 - 50992729000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.885 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 00058886621272
2025-09-01 19:21:47.886 | ERROR    | __main__:processar_pmm:132 - 00058886621272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.888 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 17871432000170
2025-09-01 19:21:47.889 | ERROR    | __main__:processar_pmm:132 - 17871432000170 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:47.890 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 05962437000120
2025-09-01 19:21:47.891 | ERROR    | __main__:processar_pmm:132 - 05962437000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:21:48.023 | INFO     | __main__:processar_pmm:138 - Processo concluído.
2025-09-01 19:36:17.243 | INFO     | __main__:processar_pmm:64 - Iniciando automação da aba: PMM
2025-09-01 19:36:18.170 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 22988817000152
2025-09-01 19:36:50.856 | ERROR    | __main__:processar_pmm:132 - 22988817000152 → ERRO: TimeoutError: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for get_by_role("radio", name="CNPJ")

2025-09-01 19:36:50.858 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 24061787000160
2025-09-01 19:36:56.144 | ERROR    | __main__:processar_pmm:132 - 24061787000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
Call log:
  - navigating to "https://semefatende.manaus.am.gov.br/servicoJanela.php?servico=1412", waiting until "load"

2025-09-01 19:36:56.146 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 61745095000167
2025-09-01 19:36:56.148 | ERROR    | __main__:processar_pmm:132 - 61745095000167 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.149 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 07098574000193
2025-09-01 19:36:56.151 | ERROR    | __main__:processar_pmm:132 - 07098574000193 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.152 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 61289975000176
2025-09-01 19:36:56.154 | ERROR    | __main__:processar_pmm:132 - 61289975000176 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.155 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 32181064000122
2025-09-01 19:36:56.156 | ERROR    | __main__:processar_pmm:132 - 32181064000122 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.157 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 45880695000181
2025-09-01 19:36:56.159 | ERROR    | __main__:processar_pmm:132 - 45880695000181 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.161 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 41070149000124
2025-09-01 19:36:56.163 | ERROR    | __main__:processar_pmm:132 - 41070149000124 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.166 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 47274662000113
2025-09-01 19:36:56.169 | ERROR    | __main__:processar_pmm:132 - 47274662000113 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.172 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 38112365000180
2025-09-01 19:36:56.175 | ERROR    | __main__:processar_pmm:132 - 38112365000180 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.177 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 30080700000102
2025-09-01 19:36:56.180 | ERROR    | __main__:processar_pmm:132 - 30080700000102 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.181 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 43023281000100
2025-09-01 19:36:56.183 | ERROR    | __main__:processar_pmm:132 - 43023281000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.185 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 35856232000120
2025-09-01 19:36:56.186 | ERROR    | __main__:processar_pmm:132 - 35856232000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.188 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 51516274000179
2025-09-01 19:36:56.190 | ERROR    | __main__:processar_pmm:132 - 51516274000179 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.190 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 53165195000196
2025-09-01 19:36:56.192 | ERROR    | __main__:processar_pmm:132 - 53165195000196 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.193 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 09461099000101
2025-09-01 19:36:56.195 | ERROR    | __main__:processar_pmm:132 - 09461099000101 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.196 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 21967775000100
2025-09-01 19:36:56.198 | ERROR    | __main__:processar_pmm:132 - 21967775000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.199 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 38059475000126
2025-09-01 19:36:56.201 | ERROR    | __main__:processar_pmm:132 - 38059475000126 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.202 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 47766186000158
2025-09-01 19:36:56.204 | ERROR    | __main__:processar_pmm:132 - 47766186000158 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.206 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 41505475000117
2025-09-01 19:36:56.208 | ERROR    | __main__:processar_pmm:132 - 41505475000117 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.210 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 50992729000160
2025-09-01 19:36:56.212 | ERROR    | __main__:processar_pmm:132 - 50992729000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.213 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 00058886621272
2025-09-01 19:36:56.215 | ERROR    | __main__:processar_pmm:132 - 00058886621272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.216 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 17871432000170
2025-09-01 19:36:56.218 | ERROR    | __main__:processar_pmm:132 - 17871432000170 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.219 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 05962437000120
2025-09-01 19:36:56.220 | ERROR    | __main__:processar_pmm:132 - 05962437000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:36:56.373 | INFO     | __main__:processar_pmm:138 - Processo concluído.
2025-09-01 20:37:36.287 | INFO     | __main__:processar_pmm:64 - Iniciando automação da aba: PMM
2025-09-01 20:37:37.190 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 22988817000152
2025-09-01 20:37:52.350 | ERROR    | __main__:processar_pmm:132 - 22988817000152 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
Call log:
  - navigating to "https://semefatende.manaus.am.gov.br/servicoJanela.php?servico=1412", waiting until "load"

2025-09-01 20:37:52.352 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 24061787000160
2025-09-01 20:37:52.354 | ERROR    | __main__:processar_pmm:132 - 24061787000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:37:52.356 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 61745095000167
2025-09-01 20:37:52.357 | ERROR    | __main__:processar_pmm:132 - 61745095000167 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:37:52.358 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 07098574000193
2025-09-01 20:37:52.360 | ERROR    | __main__:processar_pmm:132 - 07098574000193 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:37:52.362 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 61289975000176
2025-09-01 20:37:52.364 | ERROR    | __main__:processar_pmm:132 - 61289975000176 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:37:52.367 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 32181064000122
2025-09-01 20:37:52.370 | ERROR    | __main__:processar_pmm:132 - 32181064000122 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 20:37:52.372 | INFO     | __main__:processar_pmm:81 - Consultando CNPJ: 45880695000181
2025-09-01 20:37:52.374 | ERROR    | __main__:processar_pmm:132 - 45880695000181 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
