2025-09-01 19:51:36.594 | ERROR    | __main__:processar_cdt:135 - 38112365000180 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.595 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 30080700000102
2025-09-01 19:51:36.598 | ERROR    | __main__:processar_cdt:135 - 30080700000102 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.599 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 43023281000100
2025-09-01 19:51:36.601 | ERROR    | __main__:processar_cdt:135 - 43023281000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.603 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 35856232000120
2025-09-01 19:51:36.605 | ERROR    | __main__:processar_cdt:135 - 35856232000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.607 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 51516274000179
2025-09-01 19:51:36.610 | ERROR    | __main__:processar_cdt:135 - 51516274000179 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.613 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 53165195000196
2025-09-01 19:51:36.615 | ERROR    | __main__:processar_cdt:135 - 53165195000196 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.617 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 09461099000101
2025-09-01 19:51:36.620 | ERROR    | __main__:processar_cdt:135 - 09461099000101 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.622 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 21967775000100
2025-09-01 19:51:36.624 | ERROR    | __main__:processar_cdt:135 - 21967775000100 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.626 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 38059475000126
2025-09-01 19:51:36.628 | ERROR    | __main__:processar_cdt:135 - 38059475000126 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.629 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 47766186000158
2025-09-01 19:51:36.631 | ERROR    | __main__:processar_cdt:135 - 47766186000158 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.632 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 00000863578241
2025-09-01 19:51:36.634 | ERROR    | __main__:processar_cdt:135 - 00000863578241 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.635 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 41505475000117
2025-09-01 19:51:36.637 | ERROR    | __main__:processar_cdt:135 - 41505475000117 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.638 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 50992729000160
2025-09-01 19:51:36.640 | ERROR    | __main__:processar_cdt:135 - 50992729000160 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.641 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 00058886621272
2025-09-01 19:51:36.643 | ERROR    | __main__:processar_cdt:135 - 00058886621272 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.644 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 17871432000170
2025-09-01 19:51:36.646 | ERROR    | __main__:processar_cdt:135 - 17871432000170 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.647 | INFO     | __main__:processar_cdt:80 - Consultando CNPJ: 05962437000120
2025-09-01 19:51:36.649 | ERROR    | __main__:processar_cdt:135 - 05962437000120 → ERRO: TargetClosedError: Page.goto: Target page, context or browser has been closed
2025-09-01 19:51:36.773 | INFO     | __main__:processar_cdt:141 - Processo concluído.
